ANNOSCOLASTICO,CODICESCUOLA,CODICEEDIFICIO,SUPERAMENTOBARRIEREARCH,ACCESSORAMPE,SCALENORMA,ASCENSOREDISABILI,PIATTAFORMAELEVATRICE,SERVIZIIGIENICIDISABILI,PORTELARGHEZZADISABILI,PERCORSIINTERNIDISABILI,PERCORSIESTERNIDISABILI,ALTRIACCORGIMENTIDISABILI
201718,CETD04101Q,0610521951,NO,-,-,-,-,-,-,-,-,-
201718,BOEE840017,0370590304,SI,NO,NO,SI,NO,SI,SI,NO,NO,-
201718,CNAA83003N,0041790002,SI,SI,SI,SI,SI,SI,SI,SI,SI,-
201718,RMEE821013,0580911169,NO,-,-,-,-,-,-,-,-,-
201718,LTIC838007,0590050318,SI,SI,SI,SI,NO,SI,SI,SI,SI,-
201718,SSEE851032,0900640748,SI,NO,NO,NO,NO,SI,SI,NO,NO,-
201718,VAIC857005,0120260140,SI,NO,NO,NO,SI,SI,SI,SI,NO,-
201718,BRRH006015,0740031818,NO,-,-,-,-,-,-,-,-,-
201718,VTEE81102G,0560380079,NO,-,-,-,-,-,-,-,-,-
201718,ARRC00701V,0510020091,NO,-,-,-,-,-,-,-,-,-
201718,FOMM81501R,0400150375,NO,-,-,-,-,-,-,-,-,-
201718,BAMM059008,0720040955,NO,-,-,-,-,-,-,-,-,-
201718,MIMM8BE01R,0151161155,SI,SI,SI,SI,NO,SI,SI,NO,NO,-
201718,KRMM83001T,1010130199,NO,-,-,-,-,-,-,-,-,-
201718,AVEE00200X,0640080297,SI,SI,SI,NO,NO,SI,SI,NO,NO,-
201718,MIEE8CK02A,0151361025,SI,SI,SI,NO,NO,SI,SI,NO,NO,-
201718,RMIC81400T,0580911440,NO,-,-,-,-,-,-,-,-,-
201718,NUAA87903R,0910850082,NO,-,-,-,-,-,-,-,-,-
201718,LEEE89402C,0750300310,SI,SI,SI,NO,NO,SI,SI,SI,SI,-
201718,MIMM84801D,1080391372,SI,NO,SI,SI,SI,SI,SI,SI,SI,-
201718,FICT70100D,0480240012,SI,SI,NO,SI,NO,SI,NO,NO,NO,-
